Country,Animal_Products,Animal_fats,Eggs,Fish_and_Seafood,Fruits,Meat,Milk,Treenuts,Vegetables,Obesity,Confirmed,Deaths,Recovered,Population
Gambia,6.0418,0.2548,0.2113,1.3488,0.0373,1.3488,2.8468,0.2362,0.0746,8.7,0.155771618,0.005088953,0.149317336,2417000
Georgia,25.2749,7.2612,1.1781,0.4284,0.2071,7.2326,9.0818,1.1566,0.1999,23.3,3.859380888,0.036123822,3.273781965,3715000
Germany,28.1419,11.0084,1.0462,0.7019,0.2632,8.9127,6.4289,1.6739,0.216,25.7,1.342080432,0.02119928,0.947855942,83300000
Ghana,7.6875,0.806,0.3472,2.7774,1.2151,3.1618,0.4216,0.0868,0.248,9.7,0.166276188,0.001039488,0.162671773,31073000
Greece,17.9063,1.6989,0.7749,0.3245,0.2484,6.6267,8.3355,1.881,0.2848,27.4,1.024813084,0.02435514,0.21564486,10700000
Grenada,23.0842,2.4889,1.444,1.2856,2.8436,12.9576,4.8195,0.1393,0.1077,20.2,0.036283186,0,0.026548673,113000
Guatemala,15.4397,1.7622,2.6186,0.1482,1.2516,7.0735,3.7385,0.9305,0.2553,18.8,0.683383151,0.023198273,0.620950958,18066000
Guinea,6.0747,0.7557,0.3125,0.5014,0.3415,2.8993,1.4896,0.0073,0.7848,6.6,0.10464172,0.000605096,0.096767516,12560000
Guinea-Bissau,10.8323,0.6274,0.1509,0.0715,0.2938,8.0527,1.8027,3.3116,0.0794,8.2,0.126673586,0.002283342,0.120757654,1927000
Guyana,22.7418,1.002,0.334,1.169,1.503,12.555,7.6287,0.8805,1.1538,19.2,0.692376112,0.019186785,0.575603558,787000
